Act: 19806, exp: 19990, diff: 0.009
Act: 235992, exp: 237658, diff: 0.007
Act: 455276, exp: 455327, diff: 0.000
Act: 673063, exp: 672996, diff: 0.000
Act: 890488, exp: 890665, diff: 0.000
Act: 1108843, exp: 1108334, diff: 0.000
Act: 1325771, exp: 1326003, diff: 0.000
Act: 1544189, exp: 1543672, diff: 0.000
Act: 1761937, exp: 1761341, diff: 0.000
Act: 1978958, exp: 1979010, diff: 0.000
Act: 24395, exp: 24189, diff: 0.009
Act: 286313, exp: 287580, diff: 0.004
Act: 551019, exp: 550971, diff: 0.000
Act: 814646, exp: 814363, diff: 0.000
Act: 1077634, exp: 1077754, diff: 0.000
Act: 1341417, exp: 1341145, diff: 0.000
Act: 1604164, exp: 1604537, diff: 0.000
Act: 1867292, exp: 1867928, diff: 0.000
Act: 2131638, exp: 2131319, diff: 0.000
Act: 2394728, exp: 2394711, diff: 0.000
Act: 28925, exp: 28788, diff: 0.005
Act: 342035, exp: 342257, diff: 0.001
Act: 655748, exp: 655726, diff: 0.000
Act: 969716, exp: 969196, diff: 0.001
Act: 1281800, exp: 1282665, diff: 0.001
Act: 1595559, exp: 1596134, diff: 0.000
Act: 1909629, exp: 1909604, diff: 0.000
Act: 2221367, exp: 2223073, diff: 0.001
Act: 2536741, exp: 2536542, diff: 0.000
Act: 2850304, exp: 2850012, diff: 0.000
Act: 34028, exp: 33787, diff: 0.007
Act: 401328, exp: 401689, diff: 0.001
Act: 768856, exp: 769592, diff: 0.001
Act: 1138786, exp: 1137495, diff: 0.001
Act: 1505226, exp: 1505398, diff: 0.000
Act: 1873209, exp: 1873301, diff: 0.000
Act: 2240811, exp: 2241204, diff: 0.000
Act: 2609920, exp: 2609107, diff: 0.000
Act: 2976088, exp: 2977010, diff: 0.000
Act: 3345017, exp: 3344913, diff: 0.000
Act: 39399, exp: 39186, diff: 0.005
Act: 466326, exp: 465877, diff: 0.001
Act: 893984, exp: 892570, diff: 0.002
Act: 1319181, exp: 1319262, diff: 0.000
Act: 1745657, exp: 1745954, diff: 0.000
Act: 2173415, exp: 2172646, diff: 0.000
Act: 2600943, exp: 2599338, diff: 0.001
Act: 3026858, exp: 3026029, diff: 0.000
Act: 3452158, exp: 3452722, diff: 0.000
Act: 3879378, exp: 3879414, diff: 0.000
